t;x;x_d;x_dd;x_ddd;x_dddd;F
1.880000;1.343756;2.116512;2.098478;0.779153;-0.357182;5.689288
1.890000;1.365026;2.137535;2.106252;0.775587;-0.356004;5.672246
1.900000;1.386506;2.158637;2.113990;0.772032;-0.354829;5.655254
1.910000;1.408199;2.179815;2.121693;0.768490;-0.353659;5.638314
1.920000;1.430103;2.201070;2.129360;0.764959;-0.352492;5.621424
1.930000;1.452220;2.222402;2.136992;0.761440;-0.351328;5.604585
1.940000;1.474551;2.243810;2.144589;0.757933;-0.350168;5.587797
1.950000;1.497097;2.265294;2.152151;0.754437;-0.349012;5.571059
1.960000;1.519857;2.286853;2.159678;0.750952;-0.347859;5.554370
1.970000;1.542834;2.308487;2.167170;0.747480;-0.346710;5.537732
1.980000;1.566027;2.330196;2.174627;0.744018;-0.345564;5.521144
1.990000;1.589438;2.351980;2.182050;0.740568;-0.344422;5.504605
2.000000;1.613067;2.373837;2.189439;0.737130;-0.343284;5.488116
2.010000;1.636915;2.395768;2.196793;0.733703;-0.342149;5.471677
2.020000;1.660983;2.417773;2.204113;0.730287;-0.341017;5.455286
2.030000;1.685271;2.439850;2.211399;0.726882;-0.339889;5.438945
2.040000;1.709780;2.462001;2.218650;0.723489;-0.338764;5.422653
2.050000;1.734511;2.484223;2.225868;0.720107;-0.337643;5.406409
2.060000;1.759465;2.506518;2.233053;0.716736;-0.336525;5.390214
2.070000;1.784642;2.528884;2.240203;0.713376;-0.335411;5.374068
2.080000;1.810043;2.551322;2.247320;0.710028;-0.334300;5.357970
2.090000;1.835668;2.573830;2.254404;0.706690;-0.333192;5.341920
2.100000;1.861520;2.596410;2.261454;0.703364;-0.332088;5.325918
2.110000;1.887597;2.619059;2.268471;0.700049;-0.330988;5.309964
2.120000;1.913901;2.641779;2.275455;0.696744;-0.329890;5.294058
2.130000;1.940433;2.664568;2.282406;0.693451;-0.328796;5.278200
2.140000;1.967193;2.687427;2.289324;0.690168;-0.327706;5.262389
2.150000;1.994181;2.710355;2.296209;0.686897;-0.326619;5.246625
2.160000;2.021400;2.733351;2.303062;0.683636;-0.325535;5.230909
2.170000;2.048849;2.756416;2.309882;0.680386;-0.324455;5.215240
2.180000;2.076529;2.779549;2.316670;0.677147;-0.323377;5.199618
